epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,474.33,1.21581,4.7275,0.01294,0.53666,0.52162,0.51345,0.33412,1.0904,1.8951,0.01595,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1111.49,1.31705,2.12279,0.01461,0.55415,0.52941,0.52276,0.32396,1.19224,1.99668,0.01892,0.0196009,0.00653362,0.0196009,0.00653362,0.0196009,0.00653362,0.0196009,0.00653362
3,1851.57,1.43365,2.09678,0.01631,0.52154,0.5165,0.49787,0.3062,1.24356,2.28278,0.01976,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297
4,2556.26,1.48489,2.12239,0.01718,0.55362,0.54972,0.55326,0.34316,1.22459,2.07441,0.0195,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3197.73,1.44315,1.9522,0.01664,0.63025,0.60374,0.62399,0.39205,1.19701,1.76784,0.01881,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3836.04,1.4113,1.80703,0.01611,0.66918,0.61458,0.65034,0.42827,1.12904,1.57461,0.01725,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4191.99,1.38913,1.72415,0.01562,0.66699,0.63879,0.67472,0.44325,1.10425,1.52261,0.01681,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4510.09,1.36678,1.64657,0.01525,0.66105,0.67873,0.69653,0.46563,1.07605,1.44701,0.01596,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4828.53,1.34778,1.58423,0.01493,0.71633,0.67709,0.72734,0.49852,1.03829,1.50244,0.01526,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5142.9,1.33269,1.5376,0.0147,0.72011,0.68554,0.73836,0.50432,1.04256,1.39246,0.01545,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5455.78,1.31434,1.50163,0.01457,0.74507,0.70163,0.76148,0.52552,1.01652,1.29454,0.0149,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5770.14,1.30507,1.45529,0.0143,0.74352,0.71503,0.76552,0.53121,1.01087,1.31167,0.0147,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6085.08,1.3087,1.42766,0.01416,0.76535,0.71451,0.77524,0.54381,0.99237,1.2278,0.01431,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,6399.79,1.28954,1.38403,0.01408,0.76544,0.72363,0.78244,0.54972,0.97562,1.18683,0.01385,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6714.74,1.28425,1.37241,0.014,0.78646,0.7359,0.79943,0.56585,0.96405,1.12051,0.01366,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,7029.92,1.27663,1.35176,0.01373,0.79433,0.73245,0.80086,0.56952,0.9508,1.07144,0.01323,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7345.84,1.26893,1.33118,0.01357,0.78286,0.74816,0.80963,0.57736,0.93412,1.06586,0.01296,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7658.36,1.26292,1.31429,0.01348,0.80078,0.74338,0.81253,0.58285,0.92658,1.01762,0.01281,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7972.33,1.24537,1.2813,0.01334,0.79985,0.74959,0.81453,0.5877,0.92063,0.99501,0.01271,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8287.66,1.24621,1.27759,0.01332,0.80444,0.75646,0.82324,0.59335,0.91741,1.01857,0.01263,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8603.89,1.23818,1.241,0.01325,0.81101,0.75178,0.82607,0.59749,0.91622,0.98387,0.01257,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8919.61,1.2242,1.22459,0.01311,0.81866,0.75451,0.83063,0.6021,0.91235,0.96971,0.01249,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9235.55,1.2246,1.21347,0.0129,0.81658,0.75814,0.83306,0.60504,0.90419,0.9504,0.01233,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9551.27,1.2207,1.20342,0.01296,0.81484,0.76724,0.8355,0.60877,0.89867,0.92744,0.01223,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9865.88,1.21063,1.16844,0.01278,0.80932,0.77238,0.83802,0.61157,0.89698,0.90368,0.01221,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10179.6,1.19878,1.14959,0.01256,0.81709,0.7733,0.83977,0.61445,0.8939,0.87567,0.01218,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10493.1,1.20333,1.14635,0.01255,0.82254,0.77152,0.84266,0.61707,0.88901,0.85893,0.01208,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10809.5,1.18737,1.12667,0.0124,0.81677,0.77922,0.84397,0.61885,0.88507,0.8487,0.01197,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11124.9,1.18066,1.1081,0.01239,0.81886,0.78229,0.84623,0.62117,0.87988,0.83971,0.01188,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,11440.7,1.1795,1.10062,0.01226,0.82473,0.77854,0.84562,0.62191,0.87838,0.83069,0.01185,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11756.9,1.16972,1.07481,0.01209,0.83304,0.77129,0.84755,0.62358,0.87598,0.8226,0.01181,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12072.3,1.16099,1.06456,0.01213,0.82721,0.78034,0.84847,0.62495,0.87643,0.81058,0.01182,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12390,1.16088,1.05598,0.01203,0.82835,0.78282,0.84951,0.62606,0.87333,0.80568,0.01177,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12704,1.1517,1.02526,0.01178,0.83018,0.78242,0.84954,0.62675,0.87109,0.80183,0.01173,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13017.8,1.1392,1.01873,0.01168,0.83333,0.78267,0.8506,0.6281,0.86905,0.7945,0.01167,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,13333.4,1.13742,1.00826,0.01169,0.83757,0.78222,0.85169,0.6293,0.86651,0.79085,0.01162,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13649.2,1.13407,0.98277,0.01161,0.83578,0.78128,0.85336,0.63061,0.86735,0.78105,0.01164,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13965.5,1.12564,0.96767,0.0114,0.84024,0.78041,0.85424,0.63174,0.86593,0.77405,0.01161,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14281.9,1.11185,0.95467,0.01129,0.8452,0.7764,0.85516,0.63309,0.86533,0.7659,0.01159,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14597.1,1.10846,0.94071,0.01122,0.84933,0.77643,0.85696,0.63472,0.86217,0.75851,0.01152,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14930.4,1.0078,0.7216,0.01313,0.8496,0.7778,0.85815,0.63579,0.85968,0.75416,0.01145,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,15240.9,0.99302,0.6905,0.01273,0.84906,0.77955,0.85913,0.63745,0.86028,0.74336,0.01144,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,15551.1,0.97997,0.66796,0.01258,0.85037,0.78318,0.8603,0.63893,0.85888,0.73564,0.01141,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,15864.8,0.97021,0.64707,0.01232,0.84734,0.78625,0.86143,0.63993,0.8579,0.72656,0.01137,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,16177.1,0.95614,0.63691,0.01199,0.85164,0.78469,0.863,0.64154,0.85563,0.71845,0.01131,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,16489.5,0.95011,0.61596,0.01182,0.85035,0.7878,0.86375,0.64254,0.85367,0.712,0.01126,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,16801.7,0.94131,0.59634,0.01172,0.84916,0.78875,0.86546,0.6442,0.85179,0.70638,0.01122,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,17114.6,0.92686,0.5838,0.01148,0.85145,0.79086,0.86576,0.64528,0.84994,0.69935,0.01118,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,17426.9,0.91576,0.57871,0.01131,0.85482,0.78994,0.86641,0.64583,0.84999,0.69251,0.01118,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,17735.6,0.90732,0.56417,0.01118,0.85985,0.78882,0.86733,0.64728,0.84806,0.68845,0.01116,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
