epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1016.32,1.304,2.26801,0.00384,0.81313,0.75718,0.828,0.62115,1.03966,0.75223,0.00322,0.00999875,0.00333292,0.00999875,0.00333292,0.00999875,0.00333292,0.00999875,0.00333292
2,1840.98,1.26737,1.07041,0.00368,0.85282,0.7891,0.86477,0.6467,1.01881,0.65896,0.0031,0.0196028,0.00653426,0.0196028,0.00653426,0.0196028,0.00653426,0.0196028,0.00653426
3,2619.31,1.29972,1.05579,0.00377,0.85747,0.79959,0.86634,0.64448,1.03924,0.63182,0.00317,0.0288108,0.0096036,0.0288108,0.0096036,0.0288108,0.0096036,0.0288108,0.0096036
4,3360.66,1.31251,1.01136,0.00387,0.88516,0.82744,0.89021,0.67104,0.99383,0.55685,0.003,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4131.58,1.26992,0.9078,0.00366,0.8938,0.84213,0.902,0.68753,0.97425,0.51207,0.00286,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4907.15,1.23497,0.83901,0.00353,0.90756,0.85458,0.9137,0.70368,0.94568,0.48006,0.00275,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5675.92,1.22069,0.79987,0.00343,0.91131,0.86662,0.92046,0.71687,0.92066,0.44879,0.00264,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6424.29,1.19882,0.76438,0.00336,0.91659,0.87256,0.92583,0.72568,0.90328,0.43225,0.00254,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7172.6,1.18917,0.75215,0.00331,0.9291,0.87744,0.92972,0.73195,0.89567,0.41927,0.00251,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7929.77,1.1706,0.72324,0.00323,0.92447,0.88511,0.93276,0.74119,0.87514,0.40504,0.00242,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8680.07,1.16472,0.70478,0.00321,0.93662,0.88224,0.93543,0.74376,0.87491,0.39471,0.00241,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9429.43,1.15494,0.69303,0.00317,0.93849,0.88574,0.93694,0.74781,0.86601,0.38903,0.00237,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10187.3,1.14517,0.6755,0.00312,0.93877,0.88744,0.93802,0.74869,0.86511,0.38625,0.00235,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10949.6,1.1341,0.66654,0.00307,0.94459,0.89001,0.9408,0.75425,0.85381,0.37459,0.00231,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11708.5,1.12642,0.64988,0.00304,0.94847,0.89207,0.94258,0.75808,0.8483,0.36456,0.00228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12465.9,1.12302,0.64484,0.00302,0.94631,0.89693,0.94342,0.7594,0.84445,0.36324,0.00226,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,13237.1,1.1135,0.6307,0.00299,0.95306,0.89298,0.94437,0.76231,0.83846,0.36055,0.00224,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
